year,currency,gdp,inflation,unemployment,interest_rate
2004,JPY,2.18611569439318,-0.0085733882031027,4.734,0.0007500000000000001
2005,JPY,1.80390087215821,-0.282946068764391,4.446,0.0010833333333333335
2006,JPY,1.3723501275831,0.249355116079085,4.192,0.1245
2007,JPY,1.48396941157472,0.060039454498669,3.888,0.4726666666666666
2008,JPY,-1.22428900061713,1.3800788616492,4.002,0.4615
2009,JPY,-5.69323635892741,-1.35283672951719,5.068,0.10525
2010,JPY,4.09791791943181,-0.728243207517779,5.102,0.09349999999999999
2011,JPY,0.0238095237995424,-0.27245561610124,4.55,0.07775
2012,JPY,1.37475099905274,-0.0440645104432602,4.358,0.08266666666666667
2013,JPY,2.00510017681211,0.335037912184741,4.038,0.07275000000000001
2014,JPY,0.296205514141889,2.75922671353253,3.589,0.06833333333333334
2015,JPY,1.56062669680782,0.795279630579839,3.385,0.07250000000000001
2016,JPY,0.753826745789127,-0.127258844489754,3.132,-0.026749999999999996
2017,JPY,1.67533175173359,0.484199796126385,2.822,-0.047999999999999994
2018,JPY,0.643391023533141,0.989094598021848,2.467,-0.06041666666666667
2019,JPY,-0.402169200894946,0.46877615938395,2.351,-0.05125
2020,JPY,-4.16876457146743,-0.024995834027731,2.809,-0.035083333333333334
2021,JPY,2.69657404187188,-0.233352779398264,2.808,-0.024333333333333332
2022,JPY,0.941998775483285,2.49770278172255,2.614,-0.03166666666666667
2023,JPY,1.47503481053384,3.26813365933163,2.6,-0.03325
2024,JPY,0.104309021773304,2.73853681635241,2.5,0.1205
2000,USD,4.07758575682804,3.37685727149929,3.992,6.235833333333333
2001,USD,0.955538348341605,2.82617111885407,4.731,3.8874999999999997
2002,USD,1.70044732643726,1.58603162650601,5.783,1.6666666666666667
2003,USD,2.79560596320081,2.27009497336115,5.989,1.1275
2004,USD,3.84777169556921,2.67723669309172,5.529,1.3491666666666668
2005,USD,3.48354993555606,3.3927468454955,5.084,3.2133333333333334
2006,USD,2.78453963650701,3.22594410070404,4.623,4.964166666666666
2007,USD,2.00385829784946,2.85267248150138,4.622,5.019166666666666
2008,USD,0.113587249881704,3.839100296651,5.784,1.9275
2009,USD,-2.57650022958367,-0.355546266299747,9.254,0.16
2010,USD,2.69519257744442,1.6400434423899,9.633,0.17500000000000002
2011,USD,1.56440685763506,3.156841568622,8.949,0.10166666666666667
2012,USD,2.28911338669843,2.06933726526067,8.069,0.14
2013,USD,2.11783009790057,1.46483265562717,7.375,0.1075
2014,USD,2.52381981363968,1.62222297740817,6.168,0.08916666666666667
2015,USD,2.94555045484053,0.118627135552451,5.28,0.1325
2016,USD,1.81945147788167,1.26158320570536,4.869,0.395
2017,USD,2.45762229852507,2.13011000365961,4.355,1.0016666666666667
2018,USD,2.96650506901305,2.44258329692817,3.896,1.8316666666666668
2019,USD,2.58382533412825,1.81221007526021,3.669,2.158333333333333
2020,USD,-2.16302914036166,1.23358439630629,8.055,0.3758333333333333
2021,USD,6.05505293244555,4.69785886363742,5.349,0.08
2022,USD,2.51237531986017,8.00279982052121,3.65,1.6833333333333333
2023,USD,2.88755600749487,4.11633838374488,3.638,5.024166666666667
2024,USD,2.79300127716779,2.94952520485207,4.022,5.1433333333333335
